,BG32,BG41,BG43,BG2,BG3,BG6,BG8,BG72,BG68,BG78,BG52,BG53,BG55,BG22,BG25,BG23
TRINITY_DN155677_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN87059_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN184442_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN181884_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN57165_c8_g1,0.16,1.415,0.201,1.821,0.195,0.692,0.388,0.684,0.599,0.163,0.173,1.893,3.016,0.351,0.191,1.255
TRINITY_DN195754_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN67916_c5_g3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN150350_c0_g1,0,0,0,0.507,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN55062_c12_g10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN59798_c9_g1,0.429,1.481,2.58,0.959,1.003,1.489,0,0.889,2.596,2.561,2.313,1.351,1.972,0.464,0,3.257
TRINITY_DN54118_c3_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN50522_c3_g1,1.059,2.763,1.065,2.123,2.346,0.817,0.816,0.674,1.248,0.566,0.336,0.44,1.491,2.264,1.23,1.732
TRINITY_DN67550_c4_g2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN52286_c5_g1,0,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073
TRINITY_DN63252_c8_g1,0,0,0.537,0.496,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN67995_c6_g2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN115319_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN174027_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN60977_c4_g1,0.02,0.057,0,0,0.214,0,0,0,0.03,0,0.029,0.092,0,0,0,0.083
TRINITY_DN64329_c11_g1,0,0,1.055,0,0.516,0,0,0,0,0,0,0.461,0,0,0,1.442
TRINITY_DN51174_c0_g2,3.944,3.181,2.57,2.543,2.921,2.536,4.146,2.062,3.454,6.8,4.434,2.426,2.359,2.492,3.86,3.599
TRINITY_DN163522_c0_g1,0,0.171,0,0,0,0,0,0,0,0,0,0.102,0,0,0,0.218
TRINITY_DN181481_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN149757_c0_g1,0,0,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0
TRINITY_DN156202_c0_g1,0.08,0,0,0,0,0,0.097,0,0,0.077,0,0,0,0,0,0
TRINITY_DN55956_c1_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN62818_c8_g1,0,0,0,0,0,0.653,0,0.645,0,0,0,0,0,0,0,0
TRINITY_DN62213_c7_g4,38.057,30.355,32.205,44.209,41.242,41.192,37.853,33.043,36.929,40.731,45.125,37.775,50.432,35.985,49.169,39.478
TRINITY_DN62650_c8_g5,0,0,0,0,0,0,0,0.449,0,0,0,0,0,0,0,0
TRINITY_DN206844_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN55806_c5_g1,0,0,1.87,0,0,0,0,0,1.258,0,1.123,0,0,0,0,0
TRINITY_DN51333_c7_g4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN62613_c2_g3,0,0.304,0.144,0.388,0,0.25,0.272,0.244,0.28,0.115,0,0.368,0,0.246,0.541,0.124
TRINITY_DN63997_c1_g3,0.05,0.085,0.058,0.172,0,0.125,0.126,0.049,0.06,0.125,0,0.113,0,0.057,0,0.228
TRINITY_DN52622_c4_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN65956_c4_g1,0,0,0,0,0,0,0,0,0,0.115,0.25,0,0.352,0,0,0.747
TRINITY_DN63189_c10_g7,2.686,1.624,2.925,2.037,2.609,1.912,1.602,2.589,1.907,2.254,1.516,0.696,2.289,2.283,1.548,1.753
TRINITY_DN167347_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN115128_c0_g1,0,0,0,0.119,0.127,0.115,0.136,0,0.27,0,0,0.113,0,0,0,0
TRINITY_DN55750_c12_g1,0.32,0.826,0.767,2.123,2.23,1.018,0,0,0.389,0,1.036,3.684,3.92,0.341,0.371,1.743
TRINITY_DN58388_c1_g1,1.258,2.307,1.218,2.985,1.003,0.701,0.602,2.364,2.017,1.16,0.489,6.171,6.056,1.8,1.718,4.201
TRINITY_DN63666_c4_g1,0,0.085,0,0,0,0.106,0,0.205,0,0,0,0.102,0,0,0,0.218
TRINITY_DN52366_c0_g3,1.568,1.956,1.813,1.552,1.743,1.825,1.612,1.495,1.507,1.458,2.015,1.822,2.476,2.359,1.633,2.178
TRINITY_DN121966_c0_g1,0,0.066,0,0,0,0,0,0,0,0.077,0,0,0,0,0,0
TRINITY_DN61728_c3_g7,0,0.066,0.096,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN27437_c0_g1,0.669,0,0.806,0.744,0,0,0,0,0,0,0,0,0,0,0.785,0
TRINITY_DN42712_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN41056_c0_g1,0.2,0,0,0,0,0,0,0,0,0.201,0,0,0,0,0,0
TRINITY_DN67414_c6_g1,0.849,0.987,1.103,1.412,0.652,0.874,0.806,1.104,0.689,0.671,0.71,2.835,2.23,1.08,1.771,1.566
TRINITY_DN133240_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN64900_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN54545_c3_g2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN51546_c6_g1,0.02,0.218,0,0,0,0,0,0,0,0,0.019,0,0,0,0,0
TRINITY_DN62607_c3_g1,0.18,0,0.316,0,0,0,0,0.088,0.21,0,0,0,0.27,0,0.52,0.093
TRINITY_DN61115_c2_g4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN178716_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN52121_c0_g1,0.32,0.275,0,0,0,0,0.379,0,0,0.316,0.691,0,0.493,0.692,0.753,0
TRINITY_DN56994_c7_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN54163_c6_g3,1.348,1.956,1.228,2.026,1.597,1.931,1.427,1.299,1.028,1.228,1.372,2.047,2.829,2.321,1.972,1.94
