,BG32,BG41,BG43,BG2,BG3,BG6,BG8,BG72,BG68,BG78,BG52,BG53,BG55,BG22,BG25,BG23
TRINITY_DN115916_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN98739_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN54688_c12_g6,0.1,0.332,0.921,0.528,0.672,0.403,0.456,0.401,0.23,0.949,1.238,0.102,0,0.208,0.562,0.207
TRINITY_DN53253_c3_g2,0.06,0.693,0.432,3.794,0.107,0.221,0.32,0.469,0.869,0.24,0.288,4.779,8.579,0.483,3.117,4.149
TRINITY_DN53854_c2_g1,0.699,1.88,0.959,1.951,1.344,1.354,1.301,1.055,0.839,0.969,1.372,0.716,1.127,1.241,1.453,1.265
TRINITY_DN63302_c7_g3,0,0,0,0,0,0,0,0,0,0,0,0.389,0.575,0,0,0
TRINITY_DN49434_c5_g6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN110382_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN53276_c6_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN108145_c0_g1,0,0,0,0,0,0,0.223,0,0.22,0,0,0,0,0.199,0,0
TRINITY_DN61911_c15_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN66036_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN39390_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN53539_c2_g1,0.599,0,0.959,0.442,0.467,0.211,0,0.205,0,0,0,0,0,0,0.233,0
TRINITY_DN59216_c21_g1,0.18,0.152,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN148483_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN65187_c1_g2,2.566,2.915,3.299,2.08,2.161,2.949,2.641,2.657,2.097,2.522,2.006,1.996,1.103,2.985,2.354,2.178
TRINITY_DN58907_c4_g2,3.795,2.744,5.524,4.182,4.04,4.073,4.136,4.289,4.582,4.824,4.597,3.725,3.803,3.354,3.743,3.682
TRINITY_DN184565_c0_g1,0,0,0,0,0,0.077,0,0,0,0,0,0,0,0,0,0
TRINITY_DN71921_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN78040_c0_g1,0,0.114,0.153,0,0,0,0,0,0,0,0,0,0,0.142,0,0
TRINITY_DN164339_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN65334_c1_g3,2.786,2.573,1.928,2.856,1.499,2.382,2.437,1.768,1.458,1.765,1.603,2.702,2.688,3.458,2.206,2.863
TRINITY_DN54992_c2_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN67769_c8_g4,23.587,3.19,16.428,15.455,21.887,14.976,16.281,25.041,14.007,12.439,15.25,3.899,12.452,4.501,5.705,5.829
TRINITY_DN125599_c0_g1,0,0,0,0,0,0,0,0,0,0,0.192,0.184,0,0,0,0.197
TRINITY_DN107252_c0_g1,0,0.256,0,0,0.35,0,0,0,0,0.297,0,0,0,0,0,0
TRINITY_DN137569_c0_g1,0,0,0.269,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN81789_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN62724_c7_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN56080_c3_g3,1.308,1.291,1.122,1.336,1.051,1.662,1.447,1.182,0.899,1.88,2.562,1.218,2.101,1.023,1.071,1.017
TRINITY_DN3697_c0_g1,0,0.399,0,0,0,0,0.184,0,0,0,0,0,0,0.995,0,0.166
TRINITY_DN53945_c5_g1,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0.127,0
TRINITY_DN55248_c2_g1,0.619,0.446,0.844,0.129,0.944,0.644,0.272,0.361,0.15,0.355,0.365,0.215,0.505,0.351,0.127,0.55
TRINITY_DN52231_c13_g1,0,0,0,0,0,0,0,0,0,0,0,0.491,0,0,0,0
TRINITY_DN148234_c0_g1,0,0.446,0,0.291,0,0,0.311,0.537,0.419,0.259,0.278,0.184,0,0,0.106,0.093
TRINITY_DN66328_c6_g6,0,0.38,0.134,0.065,0.195,0.173,0.126,0.166,0,0.163,0.173,0.174,0.423,0.237,0.127,0.176
TRINITY_DN80822_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN177340_c0_g1,0,0,0.326,0,0,0.576,0,0.283,0,0.537,0,0,0,0,0,0.301
TRINITY_DN64840_c4_g3,0.469,0.94,0.777,0.754,0.711,0.615,0.883,0.557,0.439,0.566,0.758,0.573,0.951,1.109,0.795,1.11
TRINITY_DN51129_c4_g5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN61011_c1_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN65189_c0_g1,0,0.076,0,0,0,0,0,0,0,0,0.086,0,0,0.18,0,0
TRINITY_DN2029_c0_g1,0.14,0,0.086,0.237,0.253,0.154,0.087,0.303,0,0.144,0.307,0.154,0.223,0,0.085,0.156
TRINITY_DN6943_c0_g1,0.16,0,0,0,0.185,0,0,0,0,0,0,0,0,0,0.18,0
TRINITY_DN65663_c5_g6,0,0,0,0,0,0,1.505,0,0,0,0,0,0,0,0.742,0
TRINITY_DN56966_c1_g1,0,0,0,0,0,0,0,0,0,0.067,0,0,0.106,0,0.17,0
TRINITY_DN59575_c10_g1,7.04,3.76,2.235,2.662,6.591,3.42,10.912,5.432,4.982,4.412,5.202,1.064,0.563,5.751,8.727,4.605
TRINITY_DN104805_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN43686_c0_g1,0,0,0.719,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN90862_c0_g1,0,0,0,0,0,0,0,0,0,0.316,0,0,0,0,0,0
TRINITY_DN103874_c0_g1,0,0,0,0,0,0,0,0,0.539,0,0,0,0,0.237,0,0
TRINITY_DN51715_c7_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN63662_c3_g4,0,0.304,0,0,0,0,0,0.361,0.21,0,0,0.553,0.27,0,0,0.384
TRINITY_DN42761_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN60700_c5_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN179112_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN56850_c0_g3,0,0,0.326,0,0,0,0,0.147,0,0,0.144,0.143,0,0,0.159,0
TRINITY_DN67223_c6_g4,0.379,0.408,0.23,0.313,0.224,0.202,0.563,0.42,0.15,0.153,0.374,0.522,0.622,0.474,0.806,0.27
TRINITY_DN56186_c10_g6,12.403,11.204,12.506,9.366,12.336,10.087,11.233,13.102,12.539,13.666,9.981,6.335,6.913,13.634,10.816,9.895
TRINITY_DN51267_c0_g1,0,0,0,0,0,0,0,0,0,0.566,0,0,0,0,0,0
TRINITY_DN87567_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN59152_c1_g6,0,0,0,0,0,0,0.573,0,0,0,0,0,0,0,0,0
TRINITY_DN133892_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN51211_c6_g4,2.037,2.013,2.004,2.565,2.122,2.123,2.126,3.742,2.735,2.033,2.121,2.692,3.028,1.923,1.739,2.884
TRINITY_DN122066_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN100799_c0_g1,0,0.161,0,0,0.224,0,0,0,0,0,0,0.205,0,0,0.223,0
TRINITY_DN49955_c4_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN3621_c0_g1,0,0,0,0,0,0.327,0,0,0,0,0,0,0,0,0,0
TRINITY_DN57606_c2_g5,0,0.152,0,0,0.204,0.192,0,0.088,0.21,0,0,0.092,0,0,0,0.29
TRINITY_DN58587_c9_g3,0.479,0.408,0,0,1.11,1.009,0,0,0,0,0,0.501,0,0.512,0,0
TRINITY_DN62636_c6_g6,0.879,1.329,2.11,1.218,0.769,1.403,0.262,0.684,1.068,0.441,0.47,2.774,0.681,1.658,0.254,0.965
TRINITY_DN58967_c7_g1,0,0,0,0,0.156,0,0,0,0,0,0.432,0.143,0,0,0,0
TRINITY_DN67269_c1_g1,0.04,0.057,0.067,0.065,0,0.067,0,0,0,0.058,0.182,0,0,0.028,0.127,0.052
TRINITY_DN16128_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN49713_c8_g2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN39597_c0_g1,0,0.18,0.058,0,0,0,0,0.156,0.12,0.048,0,0,0,0,0,0.052
TRINITY_DN62981_c3_g1,0,0.142,0,0,0,0.231,0,0.449,0,0,0,0,0.329,0,0,0
TRINITY_DN50720_c5_g1,7.4,7.188,7.289,6.574,8.276,6.6,5.631,7.533,6.449,6.32,4.587,7.297,7.382,5.609,4.157,6.286
TRINITY_DN156286_c0_g1,0,0.209,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN188999_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN55363_c3_g2,16.047,18.838,14.088,20.951,17.389,19.539,19.417,17.44,23.381,18.174,17.937,24.46,23.109,17.055,14.379,18.349
TRINITY_DN168539_c0_g1,0,0,0,0,0,0,0,0,0,0,0.202,0,0,0.199,0,0.207
TRINITY_DN94173_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN2509_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN205175_c0_g1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN21463_c0_g1,0,0.408,0.288,0,0,0,0,0.244,0,0.24,0,0,0,0,0,0.259
TRINITY_DN60873_c8_g9,0.439,0.19,0,0.248,0,1.172,0.786,0,0.539,0,0.48,0,0.34,1.194,1.559,0.965
TRINITY_DN87970_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN62207_c3_g3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN33757_c0_g1,0,0.095,0,0,0,0,0,0,0,0,0,0.235,0,0,0.127,0.124
TRINITY_DN54543_c14_g1,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN173231_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN54623_c2_g4,87.128,57.948,83.859,78.007,92.395,88.493,93.609,77.575,102.34,104.479,125.49,106.438,102.307,60.412,88.625,76.258
TRINITY_DN31328_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN168705_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN152998_c0_g1,0,0,0,0,0,0,0,0,0,0.134,0,0,0,0,0,0
TRINITY_DN58579_c3_g1,0,0,0,0.248,0.127,0,0,0.576,0.27,0,0,0.348,0,0.237,0,0.124
TRINITY_DN18228_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN64493_c6_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN63356_c1_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN60992_c5_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN165431_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN95805_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN62022_c1_g2,0,0,0,0,0,0,0.65,0.85,0,0,0,0.287,0,0,0,0
TRINITY_DN65945_c0_g1,0,0.19,0.173,0,0.506,0,0.262,0.752,0.26,0.221,0.317,0,0,0,0.085,0
TRINITY_DN26950_c0_g1,0,0.133,0,0,0,0,0,0,0,0,0,0,0.235,0,0,0
TRINITY_DN97653_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0.328,0,0,0,0
TRINITY_DN57246_c0_g1,14.43,12.904,16.649,15.509,15.792,12.824,13.65,17.567,15.404,16.476,17.937,19.21,20.915,11.578,13.35,15.517
TRINITY_DN53465_c0_g3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN151439_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN200417_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN108686_c0_g1,0,0,0,0.108,0,0,0,0.107,0,0,0,0,0,0,0,0
TRINITY_DN54233_c11_g3,26.323,15.619,20.351,19.141,21.721,19.02,21.067,20.224,21.275,18.471,20.47,13.151,17.71,23.194,21.356,17.083
TRINITY_DN66835_c1_g4,0.359,0,1.726,0,0.837,1.143,2.563,0.743,0.869,0.71,0,0.757,2.206,1.156,0.838,1.566
TRINITY_DN110663_c0_g1,0,0,0,0,0,0,0,0,0,0.297,0,0,0,0,0,0.322
TRINITY_DN61406_c2_g7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN64351_c8_g1,0,0.218,0.096,0,0,0.086,0,0.088,0,0.249,0.269,0,0,0.265,0.095,0.093
TRINITY_DN179016_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN52584_c2_g1,24.625,10.255,8.43,12.566,11.897,18.137,8.864,14.714,16.962,32.099,27.62,9.15,15.434,35.502,14.866,24.842
TRINITY_DN156242_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN60708_c0_g3,0.399,0.399,0.221,1.121,0.068,0.221,0.243,0.44,0.11,0.269,0.221,0.635,0.469,0.654,0.71,0.664
TRINITY_DN52382_c1_g1,0,0.19,0,0,0,0,0,0,0,0,0,0.235,0,0,0,0
TRINITY_DN149112_c0_g1,0.19,0.085,0.115,0,0,0,0,0,0,0,0,0,0,0.104,0.106,0
TRINITY_DN37684_c0_g1,0,0.028,0.038,0,0,0.038,0.078,0.068,0,0,0,0.031,0,0.038,0,0
TRINITY_DN202147_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN58523_c6_g1,0.03,0.152,0.029,0.55,0.146,0.106,0.029,0.156,0.03,0.23,0.134,0.348,0.117,0.028,0.064,0.28
TRINITY_DN54401_c3_g4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN102963_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN64284_c8_g1,4.314,4.757,7.068,5.766,2.619,5.13,5.146,8.441,3.554,6.876,2.236,1.095,1.596,9.143,5.684,1.514
TRINITY_DN51165_c5_g2,0.18,0,0,0,0,0,0.427,0.186,0.22,0.355,0.192,0.747,0.27,0,0,0.197
TRINITY_DN60781_c5_g4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN57643_c6_g1,0,0,0,0,0,0,0,0.156,0,0,0.163,0,0.117,0.076,0,0.083
TRINITY_DN51852_c2_g3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN50644_c4_g1,0,0.408,0,0,0.555,0,0.573,0,0,0,0,0,0,0,0,0
TRINITY_DN117240_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN59355_c0_g3,2.177,1.69,2.004,2.49,2.755,3.42,2.631,1.934,3.005,3.222,3.637,3.828,3.263,1.383,2.386,1.815
TRINITY_DN53885_c4_g2,0,0,0,0.474,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN58345_c6_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN4426_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256,0,0
TRINITY_DN13738_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN63213_c3_g3,0.24,0.313,0.24,0.183,0,0.125,0.243,0.039,0.05,0.125,0.048,0.174,0.059,0.047,0.042,0.083
TRINITY_DN63623_c11_g6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN61805_c8_g3,5.622,2.63,7.049,8.094,6.299,8.213,7.272,6.097,4.542,4.901,5.067,14.072,3.967,5.325,7.985,5.394
TRINITY_DN27507_c0_g1,0.19,0,0,0,0,0.413,0.233,0,0,0.192,0,0.205,0.293,0,0,0
TRINITY_DN55043_c4_g7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN53564_c1_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN42072_c0_g1,0.34,0.579,0.077,0.334,0.428,0.394,0.32,0.137,0.329,0.403,0.403,0.491,0.411,0.398,0.477,0.622
TRINITY_DN38027_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN55641_c1_g2,1.758,3.238,3.501,3.406,2.96,3.429,3.728,4.475,2.196,2.033,3.321,4.298,3.92,5.003,2.948,4.305
TRINITY_DN61101_c15_g1,0,0,0,0,0,0,0,0,0,0,0.365,0,0,0,0,0
TRINITY_DN156104_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN64918_c4_g2,0.22,1.054,0,0.119,0.127,0.586,0.524,0.694,0,0.441,0.24,0.583,0.681,0.237,0.647,0.726
TRINITY_DN134665_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106,0
TRINITY_DN68002_c1_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN66316_c6_g1,22.748,18.487,21.54,21.824,23.104,18.944,19.728,21.436,25.118,24.216,20.979,17.092,21.102,21.233,22.437,18.961
TRINITY_DN60358_c0_g2,0,0,0,0,0.117,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN61583_c7_g9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN95112_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN67417_c0_g1,0.09,0.123,0.067,0.032,0.068,0.058,0,0.029,0,0.086,0.067,0.061,0.047,0.095,0,0.093
TRINITY_DN201736_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN115226_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN67414_c4_g4,0,0,0,0,0,0,0,0.371,0,0,0.192,0,0,0.189,0.212,0.384
TRINITY_DN207320_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN199717_c0_g1,0,0,0,0,0,0,0,0.068,0,0,0.134,0,0.094,0.066,0,0
TRINITY_DN52646_c5_g5,2.117,1.548,1.544,1.746,2.268,2.277,1.961,1.661,1.687,2.004,2.198,2.19,1.737,1.781,1.803,2.023
TRINITY_DN28782_c0_g1,0.03,0.047,0,0,0.039,0,0,0.029,0,0.029,0.029,0.829,0.094,0.095,0,0.363
TRINITY_DN64169_c3_g1,0.02,0.047,0.019,0.075,0.039,0.01,0.019,0.02,0.02,0,0,0.092,0,0.019,0.011,0.021
TRINITY_DN5949_c0_g1,0,0,0,0.388,0.273,0,0,0,0,0,0,0.246,0,0,0,0
TRINITY_DN166371_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN65427_c10_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN57958_c6_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN70540_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN14045_c1_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN124135_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN67848_c1_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN53403_c12_g1,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0.464,0,0
TRINITY_DN149389_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN144853_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN84546_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN65418_c8_g3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN2584_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN131501_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN51874_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN68052_c6_g7,0.449,0,0,0.248,0,0,0,0.703,0,0.221,0,0,0,0,0,0
TRINITY_DN59814_c11_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN33721_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN77486_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN52806_c1_g5,0.839,0.313,1.007,0.399,0.136,0.634,0.573,1.241,1.158,1.314,0.259,0.501,0.552,0.133,0.848,0.394
TRINITY_DN166478_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN52495_c5_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN50477_c3_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN52081_c0_g1,0.33,0.275,0.384,0.366,0.243,0.384,0.806,0.195,0.469,0.201,3.599,0.113,0,0.644,0.297,0.187
TRINITY_DN57294_c0_g2,18.874,19.351,10.434,9.657,11.917,4.332,6.087,7.963,9.884,9.648,8.273,0.542,3.145,20.399,7.2,8.941
TRINITY_DN54686_c2_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN60813_c2_g8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN93938_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN53158_c1_g1,0.21,0.18,0.249,0,0,0,0,0,0,0.211,0,0.225,0,0.227,0.244,0
TRINITY_DN51847_c11_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN62858_c12_g2,0.25,0.104,0.153,0,0,0.134,0.146,0,0,0,0.269,0,0,0.294,0.148,0
TRINITY_DN67321_c5_g1,0,0,0,0,0,0,0,0.313,0,0,0,0.092,0,0.095,0,0
TRINITY_DN56289_c7_g4,0,0.617,0,0.269,0,0.509,0.097,0,0,0,0,1.249,0,0,0.095,0.519
TRINITY_DN86162_c0_g1,0,0,0,0,0,0,0,0,0,0.316,0,0,0,0,0,0
TRINITY_DN137251_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN61295_c0_g4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN59535_c4_g2,3.815,1.652,1.362,3.147,4.459,1.652,3.058,0.655,1.238,3.625,2.716,4.002,2.606,0.881,1.591,1.877
TRINITY_DN204065_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN157801_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN53129_c0_g1,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN126175_c0_g1,0,0,0,0,0,0,0,0,0,0.192,0,0,0,0,0,0
TRINITY_DN191900_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN169538_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN59131_c7_g1,4.154,5.194,3.807,2.554,5.072,5.6,5.039,4.719,3.085,3.712,3.954,2.937,3.157,2.549,4.814,2.79
TRINITY_DN64668_c2_g3,0,0,0.01,0,0,0,0,0,0.01,0,0.01,0.01,0,0,0,0
TRINITY_DN59174_c3_g1,0.25,0.199,0.221,0.668,0.38,0.221,0.194,0.381,0.22,0.249,0.25,1.116,1.091,0.246,0.541,0.705
TRINITY_DN52002_c9_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN4401_c0_g1,0,0,0.786,0,0,0,0,0,0,0,0,0,0.505,0,0,0.363
TRINITY_DN52330_c2_g2,101.577,69.361,91.915,79.225,98.869,84.353,92.959,92.133,102.39,97.804,101.344,57.436,75.9,75.922,101.053,68.987
TRINITY_DN94915_c0_g1,0,0,0,0,0,0,0,0.244,0,0.24,0.509,0.246,0,0,0.827,0
TRINITY_DN51488_c3_g8,0,0.057,0,0,0,0,0,0.02,0.06,0,0,0,0.023,0,0,0.021
TRINITY_DN57392_c2_g3,0,0,0,0,0.526,0,0,0,0,0,0,0.235,0,0,0,0
TRINITY_DN53413_c6_g1,4.184,3.997,4.066,4.893,3.018,3.189,2.67,3.224,1.637,2.378,1.689,2.313,3.251,4.349,3.52,3.755
TRINITY_DN51769_c7_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN58768_c3_g1,0,0,0,0,0,0,0,1.006,1.168,0,0,0.512,0,0,0,1.058
TRINITY_DN186610_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0.256,0,0,0,0
TRINITY_DN61598_c8_g1,26.912,22.93,27.544,30.015,29.305,29.952,25.543,27.151,30.729,31.927,33.906,29.066,26.102,19.812,29.86,23.411
TRINITY_DN147165_c0_g1,0,0.066,0,0,0,0,0,0,0,0.067,0,0,0,0,0,0
TRINITY_DN54610_c1_g1,1.678,1.871,1.976,1.961,1.937,1.787,2.214,1.651,1.488,1.717,1.411,1.924,2.195,2.463,1.76,2.147
TRINITY_DN58068_c0_g5,0,0,0,0,0.341,0,0,0,0,0,0,0,0.153,0.208,0,0.218
TRINITY_DN59433_c5_g2,1.248,1.272,1.362,1.498,1.558,1.076,1.641,1.524,1.188,1.295,1.075,0.675,0.458,2.653,1.463,1.224
TRINITY_DN55920_c4_g3,0,0,0,0,0,0,0,0.068,0,0,0,0,0,0,0,0
TRINITY_DN170663_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN15827_c0_g1,0,0,0.115,0,0,0.096,0,0,0,0,0.202,0,0,0,0,0.207
TRINITY_DN68585_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN61351_c3_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN63805_c2_g1,4.983,5.982,4.44,3.718,4.401,4.342,2.942,5.95,2.656,5.016,3.196,1.689,3.005,5.628,3.181,2.759
TRINITY_DN60383_c11_g7,0.09,0.076,0,0,0,0.096,0.107,0,0,0,0,0,0,0,0,0
TRINITY_DN149917_c0_g1,0,0,0,0.42,0,0,0,0.078,0,0,0,0.87,0.458,0,1.145,0.985
TRINITY_DN160890_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN138527_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
