,GG595,GG596,GG826,GG823,GG607,GG831,GG646,GG815,GG633,GG806,GG808,GG811,GG797,GG675,GG671
TRINITY_DN61403_c4_g3,3.522,4.088,3.869,8.657,6.58,5.08,4.508,5.014,23.943,3.983,6.674,5.152,3.623,5.35,6.09
TRINITY_DN57572_c5_g1,414.672,467.222,404.565,465.041,439.494,499.818,371.202,423.205,461.716,542.011,447.728,496.694,409.488,494.801,475.327
TRINITY_DN56519_c3_g3,25.393,18.825,22.51,21.501,23.403,21.714,21.15,20.508,27.314,18.319,20.47,21.316,27.369,21.572,20.509
TRINITY_DN61598_c6_g3,84.883,102.682,101.889,114.713,102.111,75.587,79.83,98.221,104.016,117.76,76.511,118.839,94.359,112.924,114.705
TRINITY_DN63280_c4_g2,7.745,6.755,8.028,7.56,7.069,5.856,6.698,8.736,6.878,6.696,5.208,8.747,11.343,8.872,7.719
TRINITY_DN56929_c4_g2,10.891,13.324,10.063,10.66,11.492,14.001,9.592,11.166,11.742,12.741,13.71,11.416,10.294,10.965,9.674
TRINITY_DN60772_c3_g1,13.621,20.619,16.538,14.566,14.018,13.687,17.64,13.935,9.185,16.592,14.681,14.751,8.988,19.03,9.002
TRINITY_DN62965_c3_g1,10.505,7.883,9.803,10.7,10.753,10.513,9.172,9.628,9.185,9.47,8.483,9.09,9.542,11.169,8.829
TRINITY_DN52946_c4_g8,7.518,15.491,9.668,12.995,12.161,8.686,15.381,13.894,7.974,17.273,8.359,13.328,14.461,8.719,7.902
TRINITY_DN51649_c3_g4,8.547,6.373,9.349,10.177,7.678,8.204,7.031,6.542,6.993,7.427,9.35,8.238,8.255,10.301,10.815
TRINITY_DN67134_c9_g2,8.507,6.54,8.452,7.086,7.139,5.414,7.363,7.936,6.669,7.905,5.446,6.098,7.523,9.617,8.004
TRINITY_DN56546_c3_g1,12.464,11.775,13.46,12.13,10.414,9.413,9.006,10.182,11.429,14.479,11.016,9.858,14.6,14.487,9.369
TRINITY_DN55721_c6_g2,7.32,13.265,13.112,16.287,12.74,11.633,10.825,4.173,10.04,9.612,9.454,8.248,3.405,8.943,10.825
TRINITY_DN62430_c1_g1,4.135,9.089,5.201,5.949,4.922,3.773,6.19,6.347,5.793,10.577,7.998,7.095,5.345,4.962,5.173
TRINITY_DN68026_c6_g10,10.05,17.315,7.246,6.754,5.062,9.059,8.096,6.768,1.566,5.659,4.008,6.087,8.602,7.269,6.955
TRINITY_DN46446_c0_g1,6.905,6.922,5.249,7.862,10.334,6.377,8.233,8.039,6.513,11.583,5.56,8.581,5.474,8.627,7.373
TRINITY_DN48214_c1_g1,6.519,7.579,7.844,6.221,5.681,12.026,5.407,6.562,8.266,8.504,11.578,4.841,4.613,6.462,7.912
TRINITY_DN63465_c8_g1,8.982,13.275,10.324,9.402,11.143,7.87,9.612,7.157,12.921,6.747,11.006,10.523,6.077,8.698,10.621
TRINITY_DN49215_c0_g1,86.891,53.709,59.609,52.082,65.538,51.22,61.994,98.385,60.316,62.751,46.872,78.201,96.587,63.338,55.387
TRINITY_DN58540_c7_g1,9.021,10.138,11.858,9.371,8.547,8.823,7.95,13.463,9.007,8.433,7.293,11.229,11.076,10.832,7.627
TRINITY_DN65131_c4_g1,563.338,424.19,307.664,744.646,762.958,260.481,294.551,301.8,453.095,674.422,986.392,512.328,300.024,970.879,382.231
TRINITY_DN50763_c5_g3,11.277,11.442,11.848,12.562,12.58,12.979,11.793,13.361,11.898,13.696,12.634,11.105,13.372,13.027,10.662
TRINITY_DN65906_c2_g3,13.849,11.658,6.127,6.352,14.228,6.524,8.145,4.645,118.357,5.7,8.598,4.872,7.602,9.832,6.68
TRINITY_DN54721_c1_g3,3.383,7.04,9.784,4.198,10.603,6.17,3.119,4.635,5.198,6.432,6.046,3.75,6.998,3.543,4.827
TRINITY_DN57904_c2_g3,20.803,22.962,19.77,24.189,24.851,21.753,24.563,26.865,23.619,27.708,23.422,24.485,24.716,23.594,23.972
TRINITY_DN67843_c0_g4,24.374,8.853,17.3,15.351,20.538,10.916,10.443,16.375,28.639,20.24,7.008,27.902,23.676,21.072,17.475
TRINITY_DN54020_c9_g2,6.905,6.412,5.654,7.097,7.628,4.687,6.356,8.357,6.513,8.403,6.436,9.027,6.523,8.055,7.281
TRINITY_DN58016_c1_g1,15.59,15.55,15.351,17.595,16.534,16.261,14.941,15.042,15.374,18.533,16.586,14.741,16.56,15.018,14.969
TRINITY_DN58371_c1_g2,33.188,102.457,44.586,42.046,42.713,50.66,33.549,31.315,39.233,51.168,41.017,57.716,43.374,28.872,37.953
TRINITY_DN61655_c4_g4,6.084,17.795,10.835,12.734,9.295,9.963,7.901,6.829,9.769,8.23,10.502,14.169,6.741,10.138,8.615
TRINITY_DN63760_c1_g5,36.086,25.364,28.155,43.022,29.943,31.805,35.221,39.846,36.133,31,24.66,34.322,33.961,33.874,39.134
TRINITY_DN67850_c1_g1,0,97.3,0,13.106,9.016,25.89,37.832,17.913,13.203,33.794,17.833,3.387,37.544,24.227,34.949
TRINITY_DN54134_c3_g1,9.763,8.187,9.716,8.969,7.229,8.568,10.492,9.269,8.297,10.658,8.721,8.113,9.473,9.638,9.98
TRINITY_DN63889_c5_g1,3.897,3.912,6.513,4.198,9.276,3.743,4.752,5.455,2.317,9.693,6.398,3.979,6.513,4.257,5.214
TRINITY_DN56903_c4_g3,10.07,8.648,8.192,2.355,9.875,8.489,4.938,3.548,9.863,9.063,8.721,5.423,7.384,9.035,7.23
TRINITY_DN65172_c3_g1,0,0.578,5.876,2.456,0.849,0.275,2.474,1.733,4.916,0,10.711,0.519,0,1.348,3.534
TRINITY_DN56226_c2_g1,28.568,17.815,26.476,22.85,34.746,18.285,18.334,20.026,42.907,29.008,25.602,38.041,24.508,29.382,30.652
TRINITY_DN50753_c4_g2,42.318,45.659,39.337,38.452,47.326,44.981,37.49,39.139,35.079,52.113,48.91,45.468,36.089,36.835,29.908
TRINITY_DN58457_c2_g3,0.396,0.324,0.338,122.091,116.458,1204.869,124.331,0.236,33.127,0.173,24.479,0.156,0.198,32.731,0.081
